balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
PJM,2025-01-23,139455.0,120118.0,6598.0,3070.995313506634,24,19337.0,0.3333333333333333,1.71356805560982,0.626676762499061,0.5322824882527222,2.8725273063616035,0.7224978909491712
PJM,2025-01-24,129739.0,113310.0,6099.0,2859.447726841012,24,16429.0,0.3333333333333333,1.1638545013005122,0.26142347196463295,0.5322824882527222,1.9575604615178672,0.6321956583564878
PJM,2025-01-25,121420.0,104065.0,4347.0,2198.2724772097686,24,17355.0,0.375,0.6931806583302434,-1.0209888827774871,0.8506384459624193,0.5228302215151757,0.49059561615757485
PJM,2025-01-26,111207.0,97131.0,4949.0,1857.6790680651857,24,14076.0,0.16666666666666666,0.11534775073854311,-0.5803426284654116,-0.741141342586066,-1.2061362203129344,0.3199560671348222
PJM,2025-01-27,118700.0,99057.0,7481.0,3176.1485697805197,24,19643.0,0.125,0.5392880206479341,1.2730067335249127,-1.059497300295763,0.7527974538770839,0.5132921265529732
PJM,2025-01-28,111690.0,95952.0,6105.0,2804.9570820039403,24,15738.0,0.2916666666666667,0.14267500956227672,0.26581529509731144,0.21392653054302538,0.6224168352026135,0.5004242712645876
PJM,2025-01-29,107544.0,92435.0,6575.0,2706.084732544446,24,15109.0,0.25,-0.09189810655200797,0.6098414404904602,-0.10442942716667182,0.41351390677178046,0.4798066926727911
PJM,2025-01-30,112210.0,92917.0,7629.0,3045.8285503243637,24,19293.0,0.125,0.17209566088389466,1.381338370797649,-1.059497300295763,0.49393673138578054,0.48774398641734673
PJM,2025-01-31,105135.0,87862.0,5087.0,2221.1508828904934,24,17273.0,0.4583333333333333,-0.228194931616965,-0.4793306964138063,1.4873503613818133,0.779824733351042,0.5159595714895399
PJM,2025-02-01,99609.0,84270.0,4928.0,1864.6881990590666,24,15339.0,0.16666666666666666,-0.5408459300847742,-0.5957140094297864,-0.741141342586066,-1.8777012821006265,0.25367626174905544
PJM,2025-02-02,103354.0,95648.0,4447.0,1474.4501308643155,24,7706.0,0.75,-0.3289606623935065,-0.947791830566179,3.715842065349693,2.4390895723900075,0.679719952832481
PJM,2025-02-03,107746.0,90575.0,7388.0,2716.2837701402873,24,17171.0,0.2916666666666667,-0.08046931507707178,1.204933474968396,0.21392653054302538,1.3383906904343497,0.571086982126486
PJM,2025-02-04,101026.0,84635.0,5545.0,2502.378254288554,24,16391.0,0.2916666666666667,-0.4606746552333653,-0.14408819728601463,0.21392653054302538,-0.39083632197635465,0.40042171620974
PJM,2025-02-05,110511.0,92874.0,6968.0,2549.916605626971,24,17637.0,0.2916666666666667,0.07596934050806985,0.8975058556809015,0.21392653054302538,1.1874017267319967,0.5561851956890695
PJM,2025-02-06,112377.0,94632.0,4735.0,2319.359044003321,24,17745.0,0.375,0.1815442162121835,-0.7369843201976113,0.8506384459624193,0.2951983419769916,0.4681295923367036
PJM,2025-02-07,106597.0,90759.0,6710.0,2493.6007748385396,24,15838.0,0.25,-0.14547763886272375,0.7086574609757262,-0.10442942716667182,0.45875039494633063,0.48427128710026685
PJM,2025-02-08,106053.0,93350.0,3296.0,1460.7769721346378,24,12703.0,0.5416666666666666,-0.17625616639918562,-1.7902899015183367,2.124062276801207,0.15751620888368478,0.4545411174356574
PJM,2025-02-09,106904.0,90120.0,3599.0,1659.4730169064453,24,16784.0,0.20833333333333334,-0.12810813894784545,-1.5685028333180728,-0.4227853848763688,-2.119396357142287,0.22982227730588628
PJM,2025-02-10,110433.0,93364.0,6847.0,2625.739343775249,24,17069.0,0.16666666666666666,0.07155624280982716,0.8089374225052185,-0.741141342586066,0.13935232272897968,0.45274844103260226
PJM,2025-02-11,116488.0,98979.0,5571.0,2295.081866810489,24,17509.0,0.4583333333333333,0.41413709617982086,-0.12505696371107447,1.4873503613818133,1.7764304938505597,0.61431911937371
PJM,2025-02-12,118118.0,99955.0,4669.0,2130.78972865781,24,18163.0,0.5,0.5063595224379694,-0.7852943746570747,1.8057063190915106,1.5267714668724053,0.5896791363512709
PJM,2025-02-13,115990.0,95004.0,4715.0,2417.56976391702,24,20986.0,0.125,0.3859611647218098,-0.751623730639873,-1.059497300295763,-1.4251598662138263,0.29833962897982247
PJM,2025-02-14,117724.0,100322.0,6532.0,2800.0935336344482,24,17402.0,0.125,0.484067721244282,0.5783667080395976,-1.059497300295763,0.0029371289881165996,0.439285006129158
PJM,2025-02-15,110236.0,94737.0,3680.0,1712.2079815552343,24,15499.0,0.20833333333333334,0.060410342212983435,-1.5092132210269131,-0.4227853848763688,-1.8715882636902985,0.254279583293922
PJM,2025-02-16,105857.0,89064.0,3043.0,1613.2529244320017,24,16793.0,0.125,-0.18734548882041085,-1.9754784436129464,-1.059497300295763,-3.2223212327291204,0.12096961318065423
PJM,2025-02-17,113185.0,97311.0,5555.0,2206.693667054263,24,15874.0,0.4166666666666667,0.22725938211192834,-0.13676849206488378,1.1689944036721165,1.259485293719161,0.56329945023159
PJM,2025-02-18,124320.0,107962.0,7182.0,2933.803814892087,24,16358.0,0.2916666666666667,0.857257367623882,1.054147547413101,0.21392653054302538,2.1253314455800085,0.6487537385868926
